"value","nombre","usuario","fecha","retweets","like","replies","texto","hashtags","ctasMencionadas","nombres_propios","fecha2"
"The Trend  @thetrend___ 19m 19 minutes ago More ""Solía pensar que mi vida era una tragedia, pero ahora me doy cuenta que es una comedia""... Joaquin Phoenix, el actor que el mundo aclama en la gran película #Joker  #Guasón #JokerMovie   Reply Retweet 3 Like 6","The Trend  ","@thetrend___ ","2019-10-05",3,6,NA,"""Solía pensar que mi vida era una tragedia, pero ahora me doy cuenta que es una comedia""... Joaquin Phoenix, el actor que el mundo aclama en la gran película #Joker  #Guasón #JokerMovie","#Joker, #Guasón, #JokerMovie","","Solía, Joaquin, Phoenix, Joker, Guasón, JokerMovie","2019-10-05"
"Amir Alonso Pinardel  @amiralonsopinar 2h 2 hours ago More Acabo de ver @jokermovie y debo decir que es una verdadera obra cinematográfica. Sin duda este Guason moviliza y nos pasea por diferentes estados. Un #Joker psicodélico y símbolo de un sistema injusto, corrompido. Un auténtico agente del caos!!! @comicsarg Reply 1 Retweet Like 1","Amir Alonso Pinardel  ","@amiralonsopinar ","2019-10-05",NA,1,1,"Acabo de ver @jokermovie y debo decir que es una verdadera obra cinematográfica. Sin duda este Guason moviliza y nos pasea por diferentes estados. Un #Joker psicodélico y símbolo de un sistema injusto, corrompido. Un auténtico agente del caos!!! @comicsarg","#Joker","@jokermovie, @comicsarg","Acabo, Sin, Guason, Un, Joker, Un","2019-10-05"
"Jaime  @blackjim7 16m 16 minutes ago More Estoy sin palabras! Joaquin MAESTRO!  #JokerMovie #Joker #Guason #elbromas   11/10 Reply Retweet Like 2","Jaime  ","@blackjim7 ","2019-10-05",NA,2,NA,"Estoy sin palabras! Joaquin MAESTRO!  #JokerMovie #Joker #Guason #elbromas   11/10","#JokerMovie, #Joker, #Guason, #elbromas","","Estoy, Joaquin, MAESTRO, JokerMovie, Joker, Guason","2019-10-05"
"American Horror Story Manía  @AHS_Mania 1h 1 hour ago More La magistral Frances Conroy participa en la película del icónico personaje de DC comics Joker (Guasón) interpretando a la mamá del protagonista Penny Fleck.  No se pierdan su excelente participación a la que nos tiene acostumbrados   #AHS @AHSFX @jokermovie  Reply Retweet 1 Like","American Horror Story Manía  ","@AHS_Mania ","2019-10-05",1,NA,NA,"La magistral Frances Conroy participa en la película del icónico personaje de DC comics Joker (Guasón) interpretando a la mamá del protagonista Penny Fleck.  No se pierdan su excelente participación a la que nos tiene acostumbrados   #AHS @AHSFX @jokermovie","#AHS","@AHSFX, @jokermovie","La, Frances, Conroy, DC, Joker, Guasón, Penny, Fleck, No, AHS","2019-10-05"
"CarlosJulioPerezG  @carlosjulio75 32m 32 minutes ago More “The worst part of having a mental illness is people expect you to behave as if you don't.” Joker (2019)  #JokerMovie   ""La peor parte de tener una enfermedad mental es que la gente espera que te comportes como si no la tuvieras"" Guasón (2019)  Reply Retweet Like","CarlosJulioPerezG  ","@carlosjulio75 ","2019-10-05",NA,NA,NA,"“The worst part of having a mental illness is people expect you to behave as if you don't.” Joker (2019)  #JokerMovie   ""La peor parte de tener una enfermedad mental es que la gente espera que te comportes como si no la tuvieras"" Guasón (2019)","#JokerMovie","","The, Joker, JokerMovie, La, Guasón","2019-10-05"
"RedLan Comics  @RedLanComics 10m 10 minutes ago More #Joker bate records en su primer día de proyecciones  #JokerMovie #JokerFilm #Guason https://redlan.com.ar/index.php/2019/10/05/joker-bate-records-en-su-primer-dia-de-proyecciones/ … Reply Retweet Like 1","RedLan Comics  ","@RedLanComics ","2019-10-05",NA,1,NA,"#Joker bate records en su primer día de proyecciones  #JokerMovie #JokerFilm #Guason https://redlan.com.ar/index.php/2019/10/05/joker-bate-records-en-su-primer-dia-de-proyecciones/ …","#Joker, #JokerMovie, #JokerFilm, #Guason","","Joker, JokerMovie, JokerFilm, Guason","2019-10-05"
"Viðarr Odinson   @VitharOdinson 24m 24 minutes ago More Viðarr Odinson  Retweeted etcétera Le dejo mi opinión sobre #Joker alias #Guasón, para que evalúen si deben ir a ver #JokerMovie. El texto no tiene #spoilers, pero sí retrata la panorámica de la cinta. El único adelanto que les doy es que es excelente: Todd Phillips es el Alan Moore del cine. Viðarr Odinson  added, etcétera Verified account  @revistaetcetera ""La cinta expone la ceguera general frente a las enfermedades mentales y la existencia de una cultura del bullying que algunos torpemente insisten en disculpar o en subestimar su gravedad"", por @VitharOdinson #JokerMovie http://bit.ly/35asduG  Reply 1 Retweet 1 Like 1","Viðarr Odinson ","@VitharOdinson ","2019-10-05",1,1,1,"Viðarr Odinson  Retweeted etcétera Le dejo mi opinión sobre #Joker alias #Guasón, para que evalúen si deben ir a ver #JokerMovie. El texto no tiene #spoilers, pero sí retrata la panorámica de la cinta. El único adelanto que les doy es que es excelente: Todd Phillips es el Alan Moore del cine. Viðarr Odinson  added, etcétera Verified account  @revistaetcetera ""La cinta expone la ceguera general frente a las enfermedades mentales y la existencia de una cultura del bullying que algunos torpemente insisten en disculpar o en subestimar su gravedad"", por @VitharOdinson #JokerMovie http://bit.ly/35asduG","#Joker, #Guasón, #JokerMovie, #spoilers, #JokerMovie","@revistaetcetera, @VitharOdinson","Viðarr, Odinson, Retweeted, Le, Joker, Guasón, JokerMovie, El, El, Todd, Phillips, Alan, Moore, Viðarr, Odinson, Verified, La, JokerMovie","2019-10-05"
"Madrigal  @madrigol10 36m 36 minutes ago More Replying to @OSWALDORIOSM @jokermovie Domingo de Guasón Reply Retweet Like","Madrigal  ","@madrigol10 ","2019-10-05",NA,NA,NA,"REPLYING TO @OSWALDORIOSM @jokermovie Domingo de Guasón","","@OSWALDORIOSM, @jokermovie","Domingo, Guasón","2019-10-05"
"Los mexicanos dicen  @mexicanosdicen 42m 42 minutes ago More Cuando te enteras que El Guasón y El Joker son lo mismo. En serio que a muchos nos ha pasado.  #ElBromas #Joker #JokerMovie #TheJoker #FelizSabado Reply 1 Retweet Like 1","Los mexicanos dicen  ","@mexicanosdicen ","2019-10-05",NA,1,1,"Cuando te enteras que El Guasón y El Joker son lo mismo. En serio que a muchos nos ha pasado.  #ElBromas #Joker #JokerMovie #TheJoker #FelizSabado","#ElBromas, #Joker, #JokerMovie, #TheJoker, #FelizSabado","","Cuando, El, Guasón, El, Joker, En, ElBromas, Joker, JokerMovie, TheJoker, FelizSabado","2019-10-05"
"Marco Antonio  @Acapulco1605 49m 49 minutes ago More Replying to @warkentin @jokermovie Será la edad u otra cosa, pero la neta no m gusto nada; no encontré nada interesante; m pareció muy descafeinada, sin chiste; nunca entendí finalmente si alucinaba Guasón o eran reales algunas escenas Reply 1 Retweet Like","Marco Antonio  ","@Acapulco1605 ","2019-10-05",NA,NA,NA,"REPLYING TO @warkentin @jokermovie Será la edad u otra cosa, pero la neta no m gusto nada; no encontré nada interesante; m pareció muy descafeinada, sin chiste; nunca entendí finalmente si alucinaba Guasón o eran reales algunas escenas","","@warkentin, @jokermovie","Será, Guasón","2019-10-05"
"Aldo Aguilar  @Aldoas4 2h 2 hours ago More El nuevo Guasón aka “el bromas” o “the joker” me recordó un buen a AMLO en su conexión con la sociedad reprimida en ciudad Gótica. #reflexion #JokerMovie #AMLO Reply Retweet Like","Aldo Aguilar  ","@Aldoas4 ","2019-10-05",NA,NA,NA,"El nuevo Guasón aka “el bromas” o “the joker” me recordó un buen a AMLO en su conexión con la sociedad reprimida en ciudad Gótica. #reflexion #JokerMovie #AMLO","#reflexion, #JokerMovie, #AMLO","","El, Guasón, AMLO, Gótica, JokerMovie, AMLO","2019-10-05"
"Enrique Montoya.   🎬  🎥  🖤  🐾  🎼  📷  🎶  @Kiquekc 2h 2 hours ago More Joker / Guason / El Bromas @Jokermovie @Pamelagc05 #jokermovie #JoaquinPhoenix  esta perturbantemente espectacular (at @Cinemex for Joker in Álvaro Obregón, DF) https://www.swarmapp.com/c/7LiUADjVsdS  Reply Retweet Like 1","Enrique Montoya","@Kiquekc ","2019-10-05",NA,1,NA,".   🎬  🎥  🖤  🐾  🎼  📷  🎶Joker / Guason / El Bromas @Jokermovie @Pamelagc05 #jokermovie #JoaquinPhoenix  esta perturbantemente espectacular (at @Cinemex for Joker in Álvaro Obregón, DF) https://www.swarmapp.com/c/7LiUADjVsdS","#jokermovie, #JoaquinPhoenix","@Jokermovie, @Pamelagc05, @Cinemex","Joker, Guason, El, Bromas, JoaquinPhoenix, Joker, Obregón, DF, LiUADjVsdS","2019-10-05"
"Ana Carolina  @geminiana16 2h 2 hours ago More Guasón / Joker ★★★★★ @jokermovie  Reply Retweet Like","Ana Carolina  ","@geminiana16 ","2019-10-05",NA,NA,NA,"Guasón / Joker ★★★★★ @jokermovie","","@jokermovie","Guasón, Joker","2019-10-05"
"Teófilo Geek  @GeekTeofilo 2h 2 hours ago More Haciendo mi tarea para ver @jokermovie #Guason #JokerFilm veo que la prensa está muy preocupada que ésta vaya a ""inspirar violencia"". No hay otras películas en Hollywood que hayan despertado esa preocupación hasta ahora?  Moralistas baratos y asesinos del arte es lo que son... Reply 1 Retweet Like 2","Teófilo Geek  ","@GeekTeofilo ","2019-10-05",NA,2,1,"Haciendo mi tarea para ver @jokermovie #Guason #JokerFilm veo que la prensa está muy preocupada que ésta vaya a ""inspirar violencia"". No hay otras películas en Hollywood que hayan despertado esa preocupación hasta ahora?  Moralistas baratos y asesinos del arte es lo que son...","#Guason, #JokerFilm","@jokermovie","Haciendo, Guason, JokerFilm, No, Hollywood, Moralistas","2019-10-05"
"Mariano Riva Palacio Verified account  @JMRivaPalacio 2h 2 hours ago More ¡Intensa, hilarante y perturbadora! Sin duda una de las mejores películas del año @jokermovie (GUASÓN) y Joaquin Phoenix directo a las nominaciones.  Reply 3 Retweet 4 Like 25","Mariano Riva Palacio Verified account  ","@JMRivaPalacio ","2019-10-05",4,25,3,"¡Intensa, hilarante y perturbadora! Sin duda una de las mejores películas del año @jokermovie (GUASÓN) y Joaquin Phoenix directo a las nominaciones.","","@jokermovie","Intensa, Sin, GUASÓN, Joaquin, Phoenix","2019-10-05"
"Carnitas VIP (´◕  🐽 ◕｀)  @VIPcarnitas 2h 2 hours ago More  Carnitas esta preguntando, ""¿Por qué tan serio?""   #CarnitasVIP #guason #joker #heathledger #whysoserious #thedarkknight #dccomics #batman #dc #dccomics #thejoker #comics #brucewayne #art #cosplay #elguason #gotham #jokermovie #jokercosplay #love #pig #movies #sabado Reply Retweet Like 3","Carnitas VIP ","@VIPcarnitas ","2019-10-05",NA,3,NA,"(´◕  🐽 ◕｀) Carnitas esta preguntando, ""¿Por qué tan serio?""   #CarnitasVIP #guason #joker #heathledger #whysoserious #thedarkknight #dccomics #batman #dc #dccomics #thejoker #comics #brucewayne #art #cosplay #elguason #gotham #jokermovie #jokercosplay #love #pig #movies #sabado","#CarnitasVIP, #guason, #joker, #heathledger, #whysoserious, #thedarkknight, #dccomics, #batman, #dc, #dccomics, #thejoker, #comics, #brucewayne, #art, #cosplay, #elguason, #gotham, #jokermovie, #jokercosplay, #love, #pig, #movies, #sabado","","Carnitas, Por, CarnitasVIP","2019-10-05"
"Veritox  @veritopiesw 24m 24 minutes ago More Ya fueron a ver la peli del Guasón #JokerMovie está buenísima...!!! Si ya estaba enamorada de #JoaquinPhoenix desde Johnny Cash con esta me moje...!! Pelicuon...!!! #Joker #SabadoDePortarseMal Reply 2 Retweet 2 Like 10","Veritox  ","@veritopiesw ","2019-10-05",2,10,2,"Ya fueron a ver la peli del Guasón #JokerMovie está buenísima...!!! Si ya estaba enamorada de #JoaquinPhoenix desde Johnny Cash con esta me moje...!! Pelicuon...!!! #Joker #SabadoDePortarseMal","#JokerMovie, #JoaquinPhoenix, #Joker, #SabadoDePortarseMal","","Ya, Guasón, JokerMovie, Si, JoaquinPhoenix, Johnny, Cash, Pelicuon, Joker, SabadoDePortarseMal","2019-10-05"
"AP Verified account  @altapeli 23h 23 hours ago More ¿Una de las mejores películas del año? Joaquin Phoenix y Todd Phillips coniguen toda nuestra atención. REVIEW de #Joker #JokerMovie #Guason: https://altapeli.com/critica/review-joker-guason/ … Reply Retweet 9 Like 38","AP Verified account  ","@altapeli ","2019-10-05",9,38,NA,"¿Una de las mejores películas del año? Joaquin Phoenix y Todd Phillips coniguen toda nuestra atención. REVIEW de #Joker #JokerMovie #Guason: https://altapeli.com/critica/review-joker-guason/ …","#Joker, #JokerMovie, #Guason","","Una, Joaquin, Phoenix, Todd, Phillips, REVIEW, Joker, JokerMovie, Guason","2019-10-05"
"SMASH Verified account  @SMASHem_mx Oct 4 More ¿#Joker te dejó sin palabras? Aquí te explicamos el final.   #JokerMovie #JokerFilm #Guasón  Reply 2 Retweet 11 Like 50","SMASH Verified account  ","@SMASHem_mx "," Oct 4 ",11,50,2,"¿#Joker te dejó sin palabras? Aquí te explicamos el final.   #JokerMovie #JokerFilm #Guasón","#Joker, #JokerMovie, #JokerFilm, #Guasón","","Joker, Aquí, JokerMovie, JokerFilm, Guasón","2019-10-04"
"DC Comics MX Verified account  @DCcomicsMX 9h 9 hours ago More El #Joker es uno de los villanos más escalofriantes incluso en los videojuegos, ¿cuál es tu versión preferida? https://bit.ly/2lWABvH  .  #Guasón  #JokerMovie  Reply 1 Retweet 17 Like 63","DC Comics MX Verified account  ","@DCcomicsMX ","2019-10-05",17,63,1,"El #Joker es uno de los villanos más escalofriantes incluso en los videojuegos, ¿cuál es tu versión preferida? https://bit.ly/2lWABvH  .  #Guasón  #JokerMovie","#Joker, #Guasón, #JokerMovie","","El, Joker, WABvH, Guasón, JokerMovie","2019-10-05"
"Josué Monak Campos ®  @JosueMonak 2h 2 hours ago More “The worst part of having a mental illness is people expect you to behave as if you don't.”  —Joker (2019)  #JokerMovie   ""La peor parte de tener una enfermedad mental es que la gente espera que te comportes como si no la tuvieras""  —Guasón (2019)  Reply Retweet 7 Like 15","Josué Monak Campos ","@JosueMonak ","2019-10-05",7,15,NA,"®“The worst part of having a mental illness is people expect you to behave as if you don't.”  —Joker (2019)  #JokerMovie   ""La peor parte de tener una enfermedad mental es que la gente espera que te comportes como si no la tuvieras""  —Guasón (2019)","#JokerMovie","","The, Joker, JokerMovie, La, Guasón","2019-10-05"
"MaurOckham  @MaurOckham 3h 3 hours ago More Esperando a que #Guason sea todo lo que se ha dicho en RRSS y en la prensa. En Venezia le fue bien. Veremos. #JokerMovie #Joker  Reply 2 Retweet Like 1 Show this thread","MaurOckham  ","@MaurOckham ","2019-10-05",NA,1,2,"Esperando a que #Guason sea todo lo que se ha dicho en RRSS y en la prensa. En Venezia le fue bien. Veremos. #JokerMovie #Joker     Show this thread","#Guason, #JokerMovie, #Joker","","Esperando, Guason, RRSS, En, Venezia, Veremos, JokerMovie, Joker, Show","2019-10-05"
"SMASH Verified account  @SMASHem_mx 23h 23 hours ago More Alerta de SPOILER  #Joker es todo lo que te han contado ¡Y MÁS!  #JokerMovie #JokerFilm #Guasón  Reply Retweet 6 Like 61","SMASH Verified account  ","@SMASHem_mx ","2019-10-05",6,61,NA,"Alerta de SPOILER  #Joker es todo lo que te han contado ¡Y MÁS!  #JokerMovie #JokerFilm #Guasón","#Joker, #JokerMovie, #JokerFilm, #Guasón","","Alerta, SPOILER, Joker, MÁS, JokerMovie, JokerFilm, Guasón","2019-10-05"
"GuilleMancandy  @guillemancandy 7h 7 hours ago More #BuenSabado TwitterClowns #FelizSabado detras de camaras del nacimiento del Payaso Porqueria inspirado en el #Guason #Joker #JokerMovie @jokermovie el video en http://Instagram.Com/Guillemancandy  #sabadodeganarseguidores #SeguimeYTeSigo #SeguimeYTeSigoArgentina #SiguemeYTeSigoYa Reply 2 Retweet 3 Like 16","GuilleMancandy  ","@guillemancandy ","2019-10-05",3,16,2,"#BuenSabado TwitterClowns #FelizSabado detras de camaras del nacimiento del Payaso Porqueria inspirado en el #Guason #Joker #JokerMovie @jokermovie el video en http://Instagram.Com/Guillemancandy  #sabadodeganarseguidores #SeguimeYTeSigo #SeguimeYTeSigoArgentina #SiguemeYTeSigoYa","#BuenSabado, #FelizSabado, #Guason, #Joker, #JokerMovie, #sabadodeganarseguidores, #SeguimeYTeSigo, #SeguimeYTeSigoArgentina, #SiguemeYTeSigoYa","@jokermovie","BuenSabado, TwitterClowns, FelizSabado, Payaso, Porqueria, Guason, Joker, JokerMovie, Instagram, Com, Guillemancandy, SeguimeYTeSigo, SeguimeYTeSigoArgentina, SiguemeYTeSigoYa","2019-10-05"
"FortalezaDeLaSoledad  @LaFortalezaSole 7h 7 hours ago More En Japón la fiebre del #Joker #Guasón #ElBromas se ha impuesto. Por cierto @jokermovie está arrasando en taquilla en el primer fin de semana donde podría llegar a los 95 millones de dólares.  Reply 1 Retweet 30 Like 125","FortalezaDeLaSoledad  ","@LaFortalezaSole ","2019-10-05",30,125,1,"En Japón la fiebre del #Joker #Guasón #ElBromas se ha impuesto. Por cierto @jokermovie está arrasando en taquilla en el primer fin de semana donde podría llegar a los 95 millones de dólares.","#Joker, #Guasón, #ElBromas","@jokermovie","En, Japón, Joker, Guasón, ElBromas, Por","2019-10-05"
"Tube Radio  @TubeRadio985 4h 4 hours ago More JOKER: 10 preguntas que te harás luego de ver la película  https://youtu.be/LPF5QVTb2PU  #PorSiNoLoSabías #PorSiTeLoPerdiste #FelizSabado #JokerMovie #Joker #JokerFilm #Guason  Reply 1 Retweet 2 Like 12","Tube Radio  ","@TubeRadio985 ","2019-10-05",2,12,1,"JOKER: 10 preguntas que te harás luego de ver la película  https://youtu.be/LPF5QVTb2PU  #PorSiNoLoSabías #PorSiTeLoPerdiste #FelizSabado #JokerMovie #Joker #JokerFilm #Guason","#PorSiNoLoSabías, #PorSiTeLoPerdiste, #FelizSabado, #JokerMovie, #Joker, #JokerFilm, #Guason","","JOKER, LPF5QVTb2PU, PorSiNoLoSabías, PorSiTeLoPerdiste, FelizSabado, JokerMovie, Joker, JokerFilm, Guason","2019-10-05"
"Juan Manuel Robledo  @_RobledoJM 4h 4 hours ago More •@rcoriamonter | “El Guasón es popular porque podría ser cualquiera"". La entrevista a distancia que me hizo @Gaceta_UNAM. @CulturaAgs #Batman80 #Joker @jokermovie @WBPicturesLatam @CulturaUNAM @uni @TheMovieland Reply Retweet 6 Like 8","Juan Manuel Robledo  ","@_RobledoJM ","2019-10-05",6,8,NA,"•@rcoriamonter | “El Guasón es popular porque podría ser cualquiera"". La entrevista a distancia que me hizo @Gaceta_UNAM. @CulturaAgs #Batman80 #Joker @jokermovie @WBPicturesLatam @CulturaUNAM @uni @TheMovieland","#Batman80, #Joker","@rcoriamonter, @Gaceta_UNAM, @CulturaAgs, @jokermovie, @WBPicturesLatam, @CulturaUNAM, @uni, @TheMovieland","El, Guasón, La, Batman80, Joker","2019-10-05"
"Samuel Rodríguez  @SamTurbo10 11h 11 hours ago More Hoy entenderemos a uno de los personajes más complejos de DC cuyo aspecto da más miedo y anarquía que risa #Guason @jokermovie @MAUCAS77 Reply Retweet Like 5","Samuel Rodríguez  ","@SamTurbo10 ","2019-10-05",NA,5,NA,"Hoy entenderemos a uno de los personajes más complejos de DC cuyo aspecto da más miedo y anarquía que risa #Guason @jokermovie @MAUCAS77","#Guason","@jokermovie, @MAUCAS77","Hoy, DC, Guason","2019-10-05"
"Andy Williams - A+A  @Andiavolo 24h 24 hours ago More Ok ok ya está .... Suelto dato rápido. El guasón cree que Bruce Wayne (batman) es su hermano en #JokerMovie . En el anime de Batman eterno, Joker le dice a Batman, . - No te puedo matar x q eres la otra parte de mi, Tu eres el lado bueno de mi, somos uno.  Reply 2 Retweet Like 14 Show this thread","Andy Williams ","@Andiavolo ","2019-10-05",NA,14,2,"- A+Ok ok ya está .... Suelto dato rápido. El guasón cree que Bruce Wayne (batman) es su hermano en #JokerMovie . En el anime de Batman eterno, Joker le dice a Batman, . - No te puedo matar x q eres la otra parte de mi, Tu eres el lado bueno de mi, somos uno.     Show this thread","#JokerMovie","","Ok, Suelto, El, Bruce, Wayne, JokerMovie, En, Batman, Joker, Batman, No, Tu, Show","2019-10-05"
"Mariano Riva Palacio Verified account  @JMRivaPalacio 6h 6 hours ago More Listo para ver @jokermovie ""Guasón""  Reply Retweet Like 13","Mariano Riva Palacio Verified account  ","@JMRivaPalacio ","2019-10-05",NA,13,NA,"Listo para ver @jokermovie ""Guasón""","","@jokermovie","Listo, Guasón","2019-10-05"
"DC Comics MX Verified account  @DCcomicsMX 6h 6 hours ago More Ya sea en cómic, animación o Live Action, todas las encarnaciones del #Joker tienen frases inolvidables.  ¿Cuál es tu favorita?  https://bit.ly/2AIqVJE  . #JokerMovie #JokerFilm #JoaquinPhoenix #Guasón  Reply 8 Retweet 45 Like 170","DC Comics MX Verified account  ","@DCcomicsMX ","2019-10-05",45,170,8,"Ya sea en cómic, animación o Live Action, todas las encarnaciones del #Joker tienen frases inolvidables.  ¿Cuál es tu favorita?  https://bit.ly/2AIqVJE  . #JokerMovie #JokerFilm #JoaquinPhoenix #Guasón","#Joker, #JokerMovie, #JokerFilm, #JoaquinPhoenix, #Guasón","","Ya, Live, Action, Joker, Cuál, AIqVJE, JokerMovie, JokerFilm, JoaquinPhoenix, Guasón","2019-10-05"
"el multiverso geek  @multiverso_el 8h 8 hours ago More acabo de atropellar al joker #JokerMovie #JokerFilm #jokermemes #Guason #DrakeBell #movie #movies #peliculas #SiguemeYTeSigoCumplo #SabadoDeGanarSeguidores #film #cine #Memes #memetwit Reply Retweet 2 Like","el multiverso geek  ","@multiverso_el ","2019-10-05",2,NA,NA,"acabo de atropellar al joker #JokerMovie #JokerFilm #jokermemes #Guason #DrakeBell #movie #movies #peliculas #SiguemeYTeSigoCumplo #SabadoDeGanarSeguidores #film #cine #Memes #memetwit","#JokerMovie, #JokerFilm, #jokermemes, #Guason, #DrakeBell, #movie, #movies, #peliculas, #SiguemeYTeSigoCumplo, #SabadoDeGanarSeguidores, #film, #cine, #Memes, #memetwit","","JokerMovie, JokerFilm, Guason, DrakeBell, SiguemeYTeSigoCumplo, SabadoDeGanarSeguidores, Memes","2019-10-05"
"Proceso Verified account  @revistaproceso 9h 9 hours ago More #Guasón: ríe, payaso / La columna #Contraplano de @LucianoCamposG  http://ow.ly/usBQ50wCSYR  #Joker #JokerMovie  Reply Retweet 17 Like 51","Proceso Verified account  ","@revistaproceso ","2019-10-05",17,51,NA,"#Guasón: ríe, payaso / La columna #Contraplano de @LucianoCamposG  http://ow.ly/usBQ50wCSYR  #Joker #JokerMovie","#Guasón, #Contraplano, #Joker, #JokerMovie","@LucianoCamposG","Guasón, La, Contraplano, BQ50wCSYR, Joker, JokerMovie","2019-10-05"
".  @twiturbe 11h 11 hours ago More Conrad Veidt, la inspiración original para el Joker, de la película de 1928 The Man Who Laughs. #JokerMovie  #Guasón  Reply Retweet Like",NA,"@twiturbe ","2019-10-05",NA,NA,NA,".Conrad Veidt, la inspiración original para el Joker, de la película de 1928 The Man Who Laughs. #JokerMovie  #Guasón","#JokerMovie, #Guasón","","Conrad, Veidt, Joker, The, Man, Who, Laughs, JokerMovie, Guasón","2019-10-05"
"Alexander Strauffon  @AlexStrauffon 16h 16 hours ago More Villanos favoritos de cine y series (Sí, incluído #Joker o Guasón, entre otros): http://alexanderstrauffon.blogspot.com/2011/09/villanos-favoritos-en-cine-y-series.html …    #JokerMovie Reply Retweet 2 Like 2","Alexander Strauffon  ","@AlexStrauffon ","2019-10-05",2,2,NA,"Villanos favoritos de cine y series (Sí, incluído #Joker o Guasón, entre otros): http://alexanderstrauffon.blogspot.com/2011/09/villanos-favoritos-en-cine-y-series.html …    #JokerMovie","#Joker, #JokerMovie","","Villanos, Sí, Joker, Guasón, JokerMovie","2019-10-05"
"Juan M. G.  @juamagarcia 16h 16 hours ago More Guasón #JokerMovie #Joker. No hagan eso por favor..., por lo menos entrena verla con sub títulos carajo...  Reply Retweet Like","Juan M","@juamagarcia ","2019-10-05",NA,NA,NA,". G.Guasón #JokerMovie #Joker. No hagan eso por favor..., por lo menos entrena verla con sub títulos carajo...","#JokerMovie, #Joker","","Guasón, JokerMovie, Joker, No","2019-10-05"
"Tenis Pintados  @ArteCuack 20h 20 hours ago More Tenis pintados a mano. #JokerMovie #JokerFilm #Joker2019 #Batman #Guason #ElGuason #ElBromas #converse #custom #JoaquinPhoenix #JOKER  Reply Retweet 3 Like 3","Tenis Pintados  ","@ArteCuack ","2019-10-05",3,3,NA,"Tenis pintados a mano. #JokerMovie #JokerFilm #Joker2019 #Batman #Guason #ElGuason #ElBromas #converse #custom #JoaquinPhoenix #JOKER","#JokerMovie, #JokerFilm, #Joker2019, #Batman, #Guason, #ElGuason, #ElBromas, #converse, #custom, #JoaquinPhoenix, #JOKER","","Tenis, JokerMovie, JokerFilm, Joker2019, Batman, Guason, ElGuason, ElBromas, JoaquinPhoenix, JOKER","2019-10-05"
"kenderi  @kenderi 3h 3 hours ago More Aquí les va una canción... Payasito (Ponchinello) de Enrique Guzman... esperaba que fuera parte del soundtrack. #Guason  #JokerMovie #Joker  Reply Retweet Like","kenderi  ","@kenderi ","2019-10-05",NA,NA,NA,"Aquí les va una canción... Payasito (Ponchinello) de Enrique Guzman... esperaba que fuera parte del soundtrack. #Guason  #JokerMovie #Joker","#Guason, #JokerMovie, #Joker","","Aquí, Payasito, Ponchinello, Enrique, Guzman, Guason, JokerMovie, Joker","2019-10-05"
"Blank  @Bleshg 5h 5 hours ago More No la he visto aún,  pero se ve que esta muy buena....  #JokerMovie  #Joker   #Guason  ""Los fans quieren el Oscar para Joaquin Phoenix por 'Joker'""   Reply Retweet Like","Blank  ","@Bleshg ","2019-10-05",NA,NA,NA,"No la he visto aún,  pero se ve que esta muy buena....  #JokerMovie  #Joker   #Guason  ""Los fans quieren el Oscar para Joaquin Phoenix por 'Joker'""","#JokerMovie, #Joker, #Guason","","No, JokerMovie, Joker, Guason, Los, Oscar, Joaquin, Phoenix, Joker","2019-10-05"
"Alex M  @NobleAlejandroA 21h 21 hours ago More Joker es un joker redondo en toda la palabra #JokerMovie #estupendo #Guason Reply Retweet Like 3","Alex M  ","@NobleAlejandroA ","2019-10-05",NA,3,NA,"Joker es un joker redondo en toda la palabra #JokerMovie #estupendo #Guason","#JokerMovie, #estupendo, #Guason","","Joker, JokerMovie, Guason","2019-10-05"
"KillerMARI0   🎃  👻  @KillerMari0 22h 22 hours ago More ¡FINAL EXPLICADO! Joker Opinión, Análisis e Easter Eggs  http://bit.ly/2nkyzqv   #JokerMovie #Joker #JokerSimpsonito #Jokerthemovie #JokerFilm #Joker2019 #ElBromas #Batman #Batwoman #Guason #SmackDown #JoaquinPhoenix @jokermovie  Reply Retweet Like 3","KillerMARI0   ","@KillerMari0 ","2019-10-05",NA,3,NA,"🎃  👻¡FINAL EXPLICADO! Joker Opinión, Análisis e Easter Eggs  http://bit.ly/2nkyzqv   #JokerMovie #Joker #JokerSimpsonito #Jokerthemovie #JokerFilm #Joker2019 #ElBromas #Batman #Batwoman #Guason #SmackDown #JoaquinPhoenix @jokermovie","#JokerMovie, #Joker, #JokerSimpsonito, #Jokerthemovie, #JokerFilm, #Joker2019, #ElBromas, #Batman, #Batwoman, #Guason, #SmackDown, #JoaquinPhoenix","@jokermovie","FINAL, EXPLICADO, Joker, Opinión, Análisis, Easter, Eggs, JokerMovie, Joker, JokerSimpsonito, Jokerthemovie, JokerFilm, Joker2019, ElBromas, Batman, Batwoman, Guason, SmackDown, JoaquinPhoenix","2019-10-05"
"LuksSter  @SterLuks 23h 23 hours ago More Pon tu mejor cara https://youtu.be/dIBXe1LuzNk  #JokerMovie #Joker #Guason  Reply Retweet Like 1","LuksSter  ","@SterLuks ","2019-10-05",NA,1,NA,"Pon tu mejor cara https://youtu.be/dIBXe1LuzNk  #JokerMovie #Joker #Guason","#JokerMovie, #Joker, #Guason","","Pon, IBXe1LuzNk, JokerMovie, Joker, Guason","2019-10-05"
