"value","nombre","usuario","fecha","retweets","like","replies","texto","hashtags","ctasMencionadas","nombres_propios","fecha2"
"🅲  🅾 🅽🅽🅸🅴 Verified account  @connieansaldi 3h 3 hours ago More Totalmente en Shock con el Guason. Imposible no querer abrazarlo... Joaquín Ph es lo mejor que vi . Reply 7 Retweet 11 Like 275 Show this thread","🅲  🅾 🅽🅽🅸🅴 Verified account  ","@connieansaldi ","2019-10-05",11,275,7,"Totalmente en Shock con el Guason. Imposible no querer abrazarlo... Joaquín Ph es lo mejor que vi .    Show this thread","","","Totalmente, Shock, Guason, Imposible, Joaquín, Ph, Show","2019-10-05"
"🅲  🅾 🅽🅽🅸🅴 Verified account  @connieansaldi 2h 2 hours ago More El Guason no es para niños . Así que vayan dejándolos en casa . Reply 5 Retweet 9 Like 120 Show this thread","🅲  🅾 🅽🅽🅸🅴 Verified account  ","@connieansaldi ","2019-10-05",9,120,5,"El Guason no es para niños . Así que vayan dejándolos en casa .    Show this thread","","","El, Guason, Así, Show","2019-10-05"
"WB Pictures Latam Verified account  @WBPicturesLatam 2h 2 hours ago More Lista de tareas para este del fin de semana:  1) Ver #Guasón  2) Debatir la película con amigos, familiares, mascotas y vecinos.  Repite  Reply Retweet 17 Like 74","WB Pictures Latam Verified account  ","@WBPicturesLatam ","2019-10-05",17,74,NA,"Lista de tareas para este del fin de semana:  1) Ver #Guasón  2) Debatir la película con amigos, familiares, mascotas y vecinos.  Repite","#Guasón","","Lista, Ver, Guasón, Debatir, Repite","2019-10-05"
"Xgamer  @Xgamer32384933 3h 3 hours ago More El Guason en esta última película revela una faceta desconocida del personaje, más que ser un malo porque si, es una persona enferma... #GuasonGuaido Reply 2 Retweet 12 Like 8","Xgamer  ","@Xgamer32384933 ","2019-10-05",12,8,2,"El Guason en esta última película revela una faceta desconocida del personaje, más que ser un malo porque si, es una persona enferma... #GuasonGuaido","#GuasonGuaido","","El, Guason, GuasonGuaido","2019-10-05"
"XVzla-37X  @Xvzla3 43m 43 minutes ago More #GuasonGuaido ahora el guason, de Guaido van a seguir pasando TT hasta que salga de su cargo porque ya esté señor está rayado para burlarse de el Reply Retweet 8 Like 9","XVzla","@Xvzla3 ","2019-10-05",8,9,NA,"-#GuasonGuaido ahora el guason, de Guaido van a seguir pasando TT hasta que salga de su cargo porque ya esté señor está rayado para burlarse de el","#GuasonGuaido","","GuasonGuaido, Guaido, TT","2019-10-05"
"Javier Matuk Verified account  @jmatuk 2h 2 hours ago More Fui a ver el Guasón... ¿Te gustó? A mí ... ¿Qué crees?  Reply 27 Retweet 5 Like 74","Javier Matuk Verified account  ","@jmatuk ","2019-10-05",5,74,27,"Fui a ver el Guasón... ¿Te gustó? A mí ... ¿Qué crees?","","","Fui, Guasón, Te, Qué","2019-10-05"
"Su madre  @MojiconFuicioso 2h 2 hours ago More Ya quiero que llegue 31 de octubre para ver los 82 mil disfraces originales de El Guasón. Reply 2 Retweet 3 Like 26","Su madre  ","@MojiconFuicioso ","2019-10-05",3,26,2,"Ya quiero que llegue 31 de octubre para ver los 82 mil disfraces originales de El Guasón.","","","Ya, El, Guasón","2019-10-05"
"Esperanza  @Esperantacos 2h 2 hours ago More #GuasonGuaido rolo e pelicula q se monta este tipo el propio guason Reply Retweet 8 Like 3","Esperanza  ","@Esperantacos ","2019-10-05",8,3,NA,"#GuasonGuaido rolo e pelicula q se monta este tipo el propio guason","#GuasonGuaido","","GuasonGuaido","2019-10-05"
"Tomatazos Verified account  @TomatazosCom 2h 2 hours ago More Estas son las películas que debes ver antes de #Joker http://bit.ly/2p7M6lL  ¿Las habían visto antes? Reply Retweet 4 Like 12","Tomatazos Verified account  ","@TomatazosCom ","2019-10-05",4,12,NA,"Estas son las películas que debes ver antes de #Joker http://bit.ly/2p7M6lL  ¿Las habían visto antes?","#Joker","","Estas, Joker, M6lL, Las","2019-10-05"
"Gladys Valbuena  @GladysVal_23 2h 2 hours ago More no creo que Guaido sea guason #GuasonGuaido Reply 1 Retweet 5 Like 3","Gladys Valbuena  ","@GladysVal_23 ","2019-10-05",5,3,1,"no creo que Guaido sea guason #GuasonGuaido","#GuasonGuaido","","Guaido, GuasonGuaido","2019-10-05"
