"","name","value","nombre","usuario","fecha","retweets","like","replies","texto","hashtags","ctasMencionadas","nombres_propios"
"3527",3527,"Gris Cansino  @Griscansino 1h 1 hour ago More Renuncia Carlos Urzúa, secretario de Hacienda y Crédito Público Reply Retweet Like","Gris Cansino  ","@Griscansino ","2019-07-09",NA,NA,NA,"Renuncia Carlos Urzúa, secretario de Hacienda y Crédito Público","","","Renuncia, Carlos, Urzúa, Hacienda, Crédito, Público"
"3528",3528,"Martha Robles O  @MarthaRoblesO 1h 1 hour ago More Era obvio, un fracaso anunciado. fue el último en darse cuenta de a dónde se metía. Las advertencias fundadas sobraron, pero Urzúa creyó en los reyes magos. Ahora estamos todos en más líos. Pobre México! Ya es hora de los los mexicanos hagan una profunda y sincera autocrítica. Reply Retweet Like","Martha Robles O  ","@MarthaRoblesO ","2019-07-09",NA,NA,NA,"Era obvio, un fracaso anunciado. fue el último en darse cuenta de a dónde se metía. Las advertencias fundadas sobraron, pero Urzúa creyó en los reyes magos. Ahora estamos todos en más líos. Pobre México! Ya es hora de los los mexicanos hagan una profunda y sincera autocrítica.","","","Era, Las, Urzúa, Ahora, Pobre, México, Ya"
"3529",3529,"Red de Información Digital • RID Noticias   🇲🇽  @RIDNoticias 1h 1 hour ago More  Renuncia #CarlosUrzúa a la Secretaría de Hacienda; acusa conflictos de intereses en la #4T.   Urzúa destacó el nombramiento de algunos funcionarios relacionados con materia hacendaria que, a su parecer, fueron impuestos.   Leer más: https://bit.ly/2YIlKUb  Reply Retweet 2 Like 2","Red de Información Digital ","@RIDNoticias ","2019-07-09",2,2,NA,"• RID Noticias   🇲🇽 Renuncia #CarlosUrzúa a la Secretaría de Hacienda; acusa conflictos de intereses en la #4T.   Urzúa destacó el nombramiento de algunos funcionarios relacionados con materia hacendaria que, a su parecer, fueron impuestos.   Leer más: https://bit.ly/2YIlKUb","#CarlosUrzúa, #4T","","RID, Noticias, Renuncia, CarlosUrzúa, Secretaría, Hacienda, Urzúa, Leer, YIlKUb"
"3530",3530,"Angelica Sánchez Vallejo  @IkaAbundancia11 1h 1 hour ago More Replying to @emprexmex @econokafka Querido Amigo...Hay algo notorio en la renuncia de Carlos Urzua. En su breve carta denuncia influyentismo.  No que no? Reply 2 Retweet Like 3","Angelica Sánchez Vallejo  ","@IkaAbundancia11 ","2019-07-09",NA,3,NA,"REPLYING TO @emprexmex @econokafka Querido Amigo...Hay algo notorio en la renuncia de Carlos Urzua. En su breve carta denuncia influyentismo.  No que no?","","@emprexmex, @econokafka","Querido, Amigo, Hay, Carlos, Urzua, En, No"
"3531",3531,"Periódico Central  @CentralPuebla 1h 1 hour ago More Carlos Urzúa renuncia a la SHCP; reconoce discrepancias y toma de decisiones sin sustento http://dlvr.it/R85YG7  Reply Retweet Like","Periódico Central  ","@CentralPuebla ","2019-07-09",NA,NA,NA,"Carlos Urzúa renuncia a la SHCP; reconoce discrepancias y toma de decisiones sin sustento http://dlvr.it/R85YG7","","","Carlos, Urzúa, SHCP, R85YG7"
"3532",3532,"Xavier Azuara Zúñiga  @XavierAzuaraSLP 1h 1 hour ago More Es muy interesante lo que señala Carlos Urzúa en su carta de renuncia, destacan palabras como: discrepancias, imposición, conficto de interés.  Definitivamente el Gobierno tiene que atender esta crisis que la economía está padeciendo, a la par de miles de ciudadanas y ciudadanos. Reply 1 Retweet 1 Like 3 Show this thread","Xavier Azuara Zúñiga  ","@XavierAzuaraSLP ","2019-07-09",1,3,1,"Es muy interesante lo que señala Carlos Urzúa en su carta de renuncia, destacan palabras como: discrepancias, imposición, conficto de interés.  Definitivamente el Gobierno tiene que atender esta crisis que la economía está padeciendo, a la par de miles de ciudadanas y ciudadanos.    Show this thread","","","Es, Carlos, Urzúa, Definitivamente, Gobierno, Show"
"3533",3533,"Edmundo Dantés  @tialroiSo 1h 1 hour ago More -Sr presidente, ¿qué opina de la renuncia de Urzúa? -AMLO: ¿Urzúa? no, no creo. -Pero hay una carta, señor... -AMLO: Pero Carlos Urzúa no es capaz Reply Retweet Like 1","Edmundo Dantés  ","@tialroiSo ","2019-07-09",NA,1,NA,"-Sr presidente, ¿qué opina de la renuncia de Urzúa? -AMLO: ¿Urzúa? no, no creo. -Pero hay una carta, señor... -AMLO: Pero Carlos Urzúa no es capaz","","","Sr, Urzúa, AMLO, Urzúa, Pero, AMLO, Pero, Carlos, Urzúa"
"3534",3534,"Boris Basulto  @Institucional08 1h 1 hour ago More Peso y BMV caen tras renuncia del secretario de Hacienda, Carlos Urzúa.  https://www.milenio.com/negocios/carlos-urzua-cae-peso-bmv-renuncia-secretario-hacienda … Reply Retweet 1 Like","Boris Basulto  ","@Institucional08 ","2019-07-09",1,NA,NA,"Peso y BMV caen tras renuncia del secretario de Hacienda, Carlos Urzúa.  https://www.milenio.com/negocios/carlos-urzua-cae-peso-bmv-renuncia-secretario-hacienda …","","","Peso, BMV, Hacienda, Carlos, Urzúa"
"3535",3535,"Mar Av  @mar_avilab 1h 1 hour ago More Carlos Urzúa ya lo dijo todo: ""En esta administración se ha tomado decisiones de política pública sin el suficiente sustento"" Reply Retweet 4 Like 5","Mar Av  ","@mar_avilab ","2019-07-09",4,5,NA,"Carlos Urzúa ya lo dijo todo: ""En esta administración se ha tomado decisiones de política pública sin el suficiente sustento""","","","Carlos, Urzúa, En"
"3536",3536,"Edmundo Berumen  @EdmundoBerumen 1h 1 hour ago More Renuncia Carlos Urzúa, secretario de Hacienda  Reply Retweet Like","Edmundo Berumen  ","@EdmundoBerumen ","2019-07-09",NA,NA,NA,"Renuncia Carlos Urzúa, secretario de Hacienda","","","Renuncia, Carlos, Urzúa, Hacienda"
